,name,label,x_center,y_center,width,height,filepath
21,train\GreenLeafHopper (35),0,0.42086,0.530547,0.45211,0.39072,datasets/labels/train\GreenLeafHopper (35).txt
22,train\GreenLeafHopper (36),0,0.54586,0.56913,0.758929,0.632236,datasets/labels/train\GreenLeafHopper (36).txt
23,train\GreenLeafHopper (37),0,0.482354,0.507752,0.377886,0.374677,datasets/labels/train\GreenLeafHopper (37).txt
24,train\GreenLeafHopper (38),0,0.466881,0.552972,0.685825,0.524548,datasets/labels/train\GreenLeafHopper (38).txt
25,train\GreenLeafHopper (39),0,0.43532,0.534238,0.49157,0.339793,datasets/labels/train\GreenLeafHopper (39).txt
26,train\GreenLeafHopper (4),0,0.492248,0.534884,0.664083,0.775194,datasets/labels/train\GreenLeafHopper (4).txt
27,train\GreenLeafHopper (40),0,0.510174,0.465116,0.64438,0.328165,datasets/labels/train\GreenLeafHopper (40).txt
28,train\GreenLeafHopper (41),0,0.589578,0.51292,0.22739,0.126615,datasets/labels/train\GreenLeafHopper (41).txt
29,train\GreenLeafHopper (42),0,0.653044,0.575581,0.300958,0.352713,datasets/labels/train\GreenLeafHopper (42).txt
30,train\GreenLeafHopper (43),0,0.599053,0.579457,0.385874,0.301034,datasets/labels/train\GreenLeafHopper (43).txt
31,train\GreenLeafHopper (44),0,0.573213,0.401809,0.47373,0.22739,datasets/labels/train\GreenLeafHopper (44).txt
32,train\GreenLeafHopper (46),0,0.423701,0.374655,0.431818,0.653206,datasets/labels/train\GreenLeafHopper (46).txt
33,train\GreenLeafHopper (46),0,0.756088,0.697727,0.362825,0.557873,datasets/labels/train\GreenLeafHopper (46).txt
34,train\GreenLeafHopper (47),0,0.569399,0.524935,0.370942,0.578124,datasets/labels/train\GreenLeafHopper (47).txt
35,train\GreenLeafHopper (49),0,0.465547,0.450904,0.685616,0.550388,datasets/labels/train\GreenLeafHopper (49).txt
36,train\GreenLeafHopper (5),0,0.485958,0.49031,0.606052,0.412145,datasets/labels/train\GreenLeafHopper (5).txt
37,train\GreenLeafHopper (50),0,0.493912,0.38673,0.288149,0.295284,datasets/labels/train\GreenLeafHopper (50).txt
38,train\GreenLeafHopper (51),0,0.510552,0.401195,0.824675,0.748767,datasets/labels/train\GreenLeafHopper (51).txt
39,train\GreenLeafHopper (52),0,0.463068,0.535277,0.770292,0.692575,datasets/labels/train\GreenLeafHopper (52).txt
40,train\GreenLeafHopper (53),0,0.491764,0.521318,0.65407,0.528424,datasets/labels/train\GreenLeafHopper (53).txt
41,train\GreenLeafHopper (55),0,0.491387,0.50969,0.719208,0.926357,datasets/labels/train\GreenLeafHopper (55).txt
42,train\GreenLeafHopper (56),0,0.388137,0.611111,0.660853,0.594315,datasets/labels/train\GreenLeafHopper (56).txt
43,train\GreenLeafHopper (57),0,0.515988,0.531654,0.731589,0.531008,datasets/labels/train\GreenLeafHopper (57).txt
44,train\GreenLeafHopper (58),0,0.523256,0.533592,0.449612,0.405685,datasets/labels/train\GreenLeafHopper (58).txt
45,train\GreenLeafHopper (59),0,0.478036,0.53553,0.622739,0.350129,datasets/labels/train\GreenLeafHopper (59).txt
46,train\GreenLeafHopper (61),0,0.32317,0.557494,0.482732,0.365633,datasets/labels/train\GreenLeafHopper (61).txt
47,train\GreenLeafHopper (62),0,0.525678,0.367571,0.15407,0.453488,datasets/labels/train\GreenLeafHopper (62).txt
48,train\GreenLeafHopper (63),0,0.421996,0.545866,0.708333,0.797158,datasets/labels/train\GreenLeafHopper (63).txt
49,train\GreenLeafHopper (64),0,0.481027,0.525194,0.293217,0.807494,datasets/labels/train\GreenLeafHopper (64).txt
50,train\GreenLeafHopper (65),0,0.483215,0.518088,0.55693,0.635659,datasets/labels/train\GreenLeafHopper (65).txt
51,train\GreenLeafHopper (66),0,0.469872,0.549096,0.636983,0.638243,datasets/labels/train\GreenLeafHopper (66).txt
52,train\GreenLeafHopper (67),0,0.646713,0.651809,0.260727,0.236434,datasets/labels/train\GreenLeafHopper (67).txt
53,train\GreenLeafHopper (68),0,0.52885,0.524548,0.326968,0.229974,datasets/labels/train\GreenLeafHopper (68).txt
54,train\GreenLeafHopper (69),0,0.431202,0.479328,0.463178,0.387597,datasets/labels/train\GreenLeafHopper (69).txt
55,train\GreenLeafHopper (7),0,0.461486,0.495478,0.451544,0.657623,datasets/labels/train\GreenLeafHopper (7).txt
56,train\GreenLeafHopper (9),0,0.53452,0.543928,0.866844,0.602067,datasets/labels/train\GreenLeafHopper (9).txt
57,train\PlantHopper (10),1,0.430018,0.568475,0.706772,0.718346,datasets/labels/train\PlantHopper (10).txt
58,train\PlantHopper (11),1,0.499354,0.523902,0.463824,0.631783,datasets/labels/train\PlantHopper (11).txt
59,train\PlantHopper (12),1,0.571142,0.499354,0.719161,0.497416,datasets/labels/train\PlantHopper (12).txt
60,train\PlantHopper (13),1,0.526301,0.495478,0.440199,0.468992,datasets/labels/train\PlantHopper (13).txt
61,train\PlantHopper (15),1,0.592475,0.479974,0.642561,0.711886,datasets/labels/train\PlantHopper (15).txt
62,train\PlantHopper (16),1,0.495884,0.518734,0.390589,0.859173,datasets/labels/train\PlantHopper (16).txt
63,train\PlantHopper (18),1,0.532946,0.479328,0.292636,0.374677,datasets/labels/train\PlantHopper (18).txt
64,train\PlantHopper (19),1,0.532759,0.485142,0.578737,0.616279,datasets/labels/train\PlantHopper (19).txt
65,train\PlantHopper (2),1,0.639632,0.487726,0.411434,0.931525,datasets/labels/train\PlantHopper (2).txt
66,train\PlantHopper (20),1,0.497093,0.483204,0.810078,0.656331,datasets/labels/train\PlantHopper (20).txt
67,train\PlantHopper (21),1,0.549436,0.467054,0.344764,0.807494,datasets/labels/train\PlantHopper (21).txt
68,train\PlantHopper (22),1,0.540375,0.507752,0.69004,0.617571,datasets/labels/train\PlantHopper (22).txt
69,train\PlantHopper (23),1,0.391773,0.624677,0.190582,0.373385,datasets/labels/train\PlantHopper (23).txt
70,train\PlantHopper (24),1,0.48189,0.510336,0.362209,0.346253,datasets/labels/train\PlantHopper (24).txt
71,train\PlantHopper (25),1,0.512841,0.448966,0.854236,0.758398,datasets/labels/train\PlantHopper (25).txt
72,train\PlantHopper (26),1,0.495298,0.47739,0.765561,0.812661,datasets/labels/train\PlantHopper (26).txt
73,train\PlantHopper (27),1,0.505506,0.518734,0.671763,0.877261,datasets/labels/train\PlantHopper (27).txt
74,train\PlantHopper (28),1,0.543425,0.445198,0.494318,0.545414,datasets/labels/train\PlantHopper (28).txt
75,train\PlantHopper (29),1,0.273297,0.48708,0.441315,0.418605,datasets/labels/train\PlantHopper (29).txt
76,train\PlantHopper (29),1,0.70943,0.466408,0.410224,0.44186,datasets/labels/train\PlantHopper (29).txt
77,train\PlantHopper (30),1,0.458436,0.478036,0.633976,0.710594,datasets/labels/train\PlantHopper (30).txt
78,train\PlantHopper (32),1,0.526553,0.585271,0.806072,0.607235,datasets/labels/train\PlantHopper (32).txt
79,train\PlantHopper (33),1,0.542613,0.633721,0.710821,0.528424,datasets/labels/train\PlantHopper (33).txt
80,train\PlantHopper (35),1,0.517657,0.496124,0.217916,0.439276,datasets/labels/train\PlantHopper (35).txt
81,train\PlantHopper (36),1,0.578381,0.578165,0.435831,0.494832,datasets/labels/train\PlantHopper (36).txt
82,train\PlantHopper (37),1,0.410207,0.537468,0.554264,0.452196,datasets/labels/train\PlantHopper (37).txt
83,train\PlantHopper (38),1,0.541611,0.487726,0.637466,0.784238,datasets/labels/train\PlantHopper (38).txt
84,train\PlantHopper (39),1,0.487939,0.514212,0.394713,0.408269,datasets/labels/train\PlantHopper (39).txt
85,train\PlantHopper (4),1,0.514535,0.509044,0.554264,0.403101,datasets/labels/train\PlantHopper (4).txt
86,train\PlantHopper (40),1,0.520155,0.501292,0.932171,0.501292,datasets/labels/train\PlantHopper (40).txt
87,train\PlantHopper (41),1,0.498919,0.4677,0.929241,0.832041,datasets/labels/train\PlantHopper (41).txt
88,train\PlantHopper (43),1,0.493252,0.523902,0.586126,0.77907,datasets/labels/train\PlantHopper (43).txt
89,train\PlantHopper (44),1,0.531038,0.524548,0.628517,0.413437,datasets/labels/train\PlantHopper (44).txt
90,train\PlantHopper (45),1,0.534286,0.490956,0.84905,0.490956,datasets/labels/train\PlantHopper (45).txt
91,train\PlantHopper (47),1,0.505276,0.487161,0.732955,0.771703,datasets/labels/train\PlantHopper (47).txt
92,train\PlantHopper (48),1,0.506891,0.550388,0.38932,0.596899,datasets/labels/train\PlantHopper (48).txt
93,train\PlantHopper (49),1,0.506023,0.498062,0.757209,0.797158,datasets/labels/train\PlantHopper (49).txt
94,train\PlantHopper (5),1,0.570314,0.48708,0.634222,0.860465,datasets/labels/train\PlantHopper (5).txt
95,train\PlantHopper (50),1,0.475834,0.495478,0.681041,0.618863,datasets/labels/train\PlantHopper (50).txt
96,train\PlantHopper (51),1,0.526357,0.492894,0.858915,0.618863,datasets/labels/train\PlantHopper (51).txt
97,train\PlantHopper (52),1,0.470284,0.521318,0.74677,0.859173,datasets/labels/train\PlantHopper (52).txt
98,train\PlantHopper (53),1,0.483197,0.479328,0.754283,0.795866,datasets/labels/train\PlantHopper (53).txt
99,train\PlantHopper (54),1,0.513784,0.447674,0.513451,0.781654,datasets/labels/train\PlantHopper (54).txt
100,train\PlantHopper (56),1,0.490095,0.538114,0.819121,0.802326,datasets/labels/train\PlantHopper (56).txt
101,train\PlantHopper (57),1,0.346253,0.638243,0.51938,0.527132,datasets/labels/train\PlantHopper (57).txt
102,train\PlantHopper (58),1,0.466315,0.497835,0.476461,0.494949,datasets/labels/train\PlantHopper (58).txt
103,train\PlantHopper (59),1,0.46472,0.459948,0.604061,0.496124,datasets/labels/train\PlantHopper (59).txt
104,train\PlantHopper (60),1,0.502841,0.497114,0.913149,0.877345,datasets/labels/train\PlantHopper (60).txt
105,train\PlantHopper (61),1,0.490749,0.51938,0.60823,0.687339,datasets/labels/train\PlantHopper (61).txt
106,train\PlantHopper (62),1,0.507711,0.491558,0.489448,0.344156,datasets/labels/train\PlantHopper (62).txt
107,train\PlantHopper (65),1,0.546532,0.459302,0.806188,0.528424,datasets/labels/train\PlantHopper (65).txt
108,train\PlantHopper (8),1,0.493844,0.509044,0.822916,0.945736,datasets/labels/train\PlantHopper (8).txt
109,train\PlantHopper (9),1,0.571982,0.553618,0.636766,0.698966,datasets/labels/train\PlantHopper (9).txt
110,train\RiceBug (10),2,0.548701,0.488095,0.849026,0.785714,datasets/labels/train\RiceBug (10).txt
111,train\RiceBug (11),2,0.471298,0.566537,0.29522,0.613695,datasets/labels/train\RiceBug (11).txt
112,train\RiceBug (12),2,0.419671,0.490956,0.145265,0.940568,datasets/labels/train\RiceBug (12).txt
113,train\RiceBug (14),2,0.458479,0.552972,0.854021,0.658915,datasets/labels/train\RiceBug (14).txt
114,train\RiceBug (15),2,0.413672,0.503876,0.213766,0.992248,datasets/labels/train\RiceBug (15).txt
115,train\RiceBug (16),2,0.561282,0.457474,0.474838,0.661208,datasets/labels/train\RiceBug (16).txt
116,train\RiceBug (17),2,0.505814,0.374031,0.182171,0.427649,datasets/labels/train\RiceBug (17).txt
117,train\RiceBug (18),2,0.477484,0.432171,0.590552,0.722222,datasets/labels/train\RiceBug (18).txt
118,train\RiceBug (2),2,0.451053,0.430233,0.581923,0.801034,datasets/labels/train\RiceBug (2).txt
119,train\RiceBug (21),2,0.469462,0.554264,0.882514,0.664083,datasets/labels/train\RiceBug (21).txt
120,train\RiceBug (22),2,0.477295,0.600775,0.771969,0.736434,datasets/labels/train\RiceBug (22).txt
121,train\RiceBug (23),2,0.470643,0.502584,0.060466,0.408269,datasets/labels/train\RiceBug (23).txt
122,train\RiceBug (24),2,0.473175,0.453488,0.870208,0.801034,datasets/labels/train\RiceBug (24).txt
123,train\RiceBug (25),2,0.49742,0.48708,0.357825,0.449612,datasets/labels/train\RiceBug (25).txt
124,train\RiceBug (27),2,0.453583,0.475452,0.884553,0.736434,datasets/labels/train\RiceBug (27).txt
125,train\RiceBug (28),2,0.4082,0.459302,0.57209,0.378553,datasets/labels/train\RiceBug (28).txt
126,train\RiceBug (29),2,0.545696,0.459302,0.43085,0.564599,datasets/labels/train\RiceBug (29).txt
127,train\RiceBug (30),2,0.667083,0.589793,0.519167,0.72739,datasets/labels/train\RiceBug (30).txt
128,train\RiceBug (31),2,0.424194,0.521318,0.79157,0.425065,datasets/labels/train\RiceBug (31).txt
129,train\RiceBug (32),2,0.49957,0.43863,0.983392,0.854005,datasets/labels/train\RiceBug (32).txt
130,train\RiceBug (34),2,0.498702,0.492894,0.994082,0.76615,datasets/labels/train\RiceBug (34).txt
131,train\RiceBug (36),2,0.46815,0.481266,0.814867,0.900517,datasets/labels/train\RiceBug (36).txt
132,train\RiceBug (37),2,0.430539,0.421189,0.185228,0.625323,datasets/labels/train\RiceBug (37).txt
133,train\RiceBug (38),2,0.496647,0.4677,0.66724,0.832041,datasets/labels/train\RiceBug (38).txt
134,train\RiceBug (39),2,0.511654,0.514858,0.717862,0.926357,datasets/labels/train\RiceBug (39).txt
135,train\RiceBug (4),2,0.484578,0.501281,0.959416,0.940252,datasets/labels/train\RiceBug (4).txt
136,train\RiceBug (40),2,0.440568,0.386951,0.487511,0.691214,datasets/labels/train\RiceBug (40).txt
137,train\RiceBug (41),2,0.523028,0.44832,0.305947,0.806202,datasets/labels/train\RiceBug (41).txt
138,train\RiceBug (42),2,0.424278,0.465116,0.553352,0.589147,datasets/labels/train\RiceBug (42).txt
139,train\RiceBug (43),2,0.443188,0.545866,0.317566,0.549096,datasets/labels/train\RiceBug (43).txt
140,train\RiceBug (44),2,0.481593,0.436693,0.570624,0.813953,datasets/labels/train\RiceBug (44).txt
141,train\RiceBug (47),2,0.58282,0.5323,0.568936,0.485788,datasets/labels/train\RiceBug (47).txt
142,train\RiceBug (49),2,0.501941,0.512274,0.935439,0.80491,datasets/labels/train\RiceBug (49).txt
143,train\RiceBug (5),2,0.501623,0.504064,0.542208,0.975329,datasets/labels/train\RiceBug (5).txt
144,train\RiceBug (51),2,0.537173,0.589793,0.737472,0.79199,datasets/labels/train\RiceBug (51).txt
145,train\RiceBug (53),2,0.273539,0.593466,0.537338,0.735472,datasets/labels/train\RiceBug (53).txt
146,train\RiceBug (53),2,0.767451,0.432582,0.4375,0.845793,datasets/labels/train\RiceBug (53).txt
147,train\RiceBug (54),2,0.505276,0.464025,0.612825,0.799453,datasets/labels/train\RiceBug (54).txt
148,train\RiceBug (55),2,0.479027,0.45478,0.606928,0.782946,datasets/labels/train\RiceBug (55).txt
149,train\RiceBug (56),2,0.534871,0.390181,0.354519,0.682171,datasets/labels/train\RiceBug (56).txt
150,train\RiceBug (57),2,0.488835,0.421835,0.764403,0.329457,datasets/labels/train\RiceBug (57).txt
151,train\RiceBug (58),2,0.515828,0.517422,0.695617,0.940776,datasets/labels/train\RiceBug (58).txt
152,train\RiceBug (59),2,0.505024,0.437339,0.619677,0.68863,datasets/labels/train\RiceBug (59).txt
153,train\RiceBug (60),2,0.62926,0.406977,0.641131,0.268734,datasets/labels/train\RiceBug (60).txt
154,train\RiceBug (61),2,0.553571,0.46113,0.784091,0.723378,datasets/labels/train\RiceBug (61).txt
155,train\RiceBug (62),2,0.421378,0.420543,0.194025,0.642119,datasets/labels/train\RiceBug (62).txt
156,train\RiceBug (63),2,0.477627,0.507106,0.636777,0.582687,datasets/labels/train\RiceBug (63).txt
157,train\RiceBug (64),2,0.541141,0.452196,0.614081,0.72093,datasets/labels/train\RiceBug (64).txt
158,train\RiceBug (65),2,0.484289,0.513566,0.56134,0.580103,datasets/labels/train\RiceBug (65).txt
159,train\RiceBug (66),2,0.430729,0.379199,0.264489,0.528424,datasets/labels/train\RiceBug (66).txt
160,train\RiceBug (67),2,0.537825,0.44509,0.262136,0.608527,datasets/labels/train\RiceBug (67).txt
161,train\RiceBug (68),2,0.524351,0.573715,0.62013,0.818893,datasets/labels/train\RiceBug (68).txt
162,train\RiceBug (69),2,0.504312,0.495478,0.942401,0.885013,datasets/labels/train\RiceBug (69).txt
163,train\RiceBug (7),2,0.532693,0.407623,0.52136,0.79199,datasets/labels/train\RiceBug (7).txt
164,train\RiceBug (70),2,0.468346,0.456718,0.605943,0.673127,datasets/labels/train\RiceBug (70).txt
165,train\RiceBug (72),2,0.699527,0.370155,0.267993,0.559432,datasets/labels/train\RiceBug (72).txt
166,train\RiceBug (73),2,0.518967,0.533592,0.434524,0.284238,datasets/labels/train\RiceBug (73).txt
167,train\RiceBug (74),2,0.348195,0.429587,0.639811,0.825581,datasets/labels/train\RiceBug (74).txt
168,train\RiceBug (77),2,0.564205,0.48385,0.212866,0.742894,datasets/labels/train\RiceBug (77).txt
169,train\RiceBug (78),2,0.563172,0.439276,0.268238,0.550388,datasets/labels/train\RiceBug (78).txt
170,train\RiceBug (79),2,0.514228,0.563307,0.29059,0.320413,datasets/labels/train\RiceBug (79).txt
171,train\RiceBug (8),2,0.575532,0.427003,0.694892,0.812661,datasets/labels/train\RiceBug (8).txt
172,train\RiceBug (80),2,0.516824,0.481912,0.463464,0.689922,datasets/labels/train\RiceBug (80).txt
173,train\RiceBug (81),2,0.50437,0.439922,0.507917,0.797158,datasets/labels/train\RiceBug (81).txt
174,train\RiceBug (82),2,0.509212,0.431525,0.902802,0.470284,datasets/labels/train\RiceBug (82).txt
175,train\RiceBug (84),2,0.567197,0.468992,0.570962,0.289406,datasets/labels/train\RiceBug (84).txt
176,train\RiceBug (85),2,0.508659,0.589793,0.640752,0.549096,datasets/labels/train\RiceBug (85).txt
177,train\RiceBug (87),2,0.305926,0.531008,0.581359,0.777778,datasets/labels/train\RiceBug (87).txt
178,train\RiceBug (88),2,0.484549,0.523902,0.431754,0.810078,datasets/labels/train\RiceBug (88).txt
179,train\RiceBug (89),2,0.473624,0.387597,0.442957,0.705426,datasets/labels/train\RiceBug (89).txt
180,train\RiceBug (9),2,0.519075,0.619048,0.260552,0.737374,datasets/labels/train\RiceBug (9).txt
181,train\RiceBug (90),2,0.425204,0.531654,0.793533,0.822997,datasets/labels/train\RiceBug (90).txt
182,train\RiceBug (91),2,0.593677,0.499354,0.360463,0.350129,datasets/labels/train\RiceBug (91).txt
183,train\RiceBug (92),2,0.559516,0.50969,0.646918,0.536176,datasets/labels/train\RiceBug (92).txt
184,train\RiceBug (93),2,0.484172,0.513383,0.92776,0.706628,datasets/labels/train\RiceBug (93).txt
185,train\RiceBug (94),2,0.506488,0.611757,0.150517,0.27261,datasets/labels/train\RiceBug (94).txt
186,train\RiceBug (95),2,0.496127,0.512274,0.441532,0.95478,datasets/labels/train\RiceBug (95).txt
187,train\RiceLeafRoller (10),3,0.465742,0.490956,0.390546,0.276486,datasets/labels/train\RiceLeafRoller (10).txt
188,train\RiceLeafRoller (11),3,0.491338,0.513566,0.775756,0.711886,datasets/labels/train\RiceLeafRoller (11).txt
189,train\RiceLeafRoller (12),3,0.506899,0.510691,0.54789,0.763654,datasets/labels/train\RiceLeafRoller (12).txt
190,train\RiceLeafRoller (14),3,0.517451,0.575437,0.781656,0.783892,datasets/labels/train\RiceLeafRoller (14).txt
191,train\RiceLeafRoller (15),3,0.447124,0.540698,0.408832,0.404393,datasets/labels/train\RiceLeafRoller (15).txt
192,train\RiceLeafRoller (16),3,0.503247,0.4274,0.150974,0.385636,datasets/labels/train\RiceLeafRoller (16).txt
193,train\RiceLeafRoller (17),3,0.554383,0.498386,0.649351,0.84892,datasets/labels/train\RiceLeafRoller (17).txt
194,train\RiceLeafRoller (18),3,0.468605,0.489664,0.789235,0.94832,datasets/labels/train\RiceLeafRoller (18).txt
195,train\RiceLeafRoller (2),3,0.466489,0.48385,0.330079,0.422481,datasets/labels/train\RiceLeafRoller (2).txt
196,train\RiceLeafRoller (21),3,0.501222,0.46124,0.88499,0.878553,datasets/labels/train\RiceLeafRoller (21).txt
197,train\RiceLeafRoller (22),3,0.515611,0.44186,0.471307,0.372093,datasets/labels/train\RiceLeafRoller (22).txt
198,train\RiceLeafRoller (23),3,0.550077,0.531008,0.287108,0.105943,datasets/labels/train\RiceLeafRoller (23).txt
199,train\RiceLeafRoller (24),3,0.487962,0.54199,0.369751,0.613695,datasets/labels/train\RiceLeafRoller (24).txt
200,train\RiceLeafRoller (25),3,0.368714,0.479328,0.376583,0.485788,datasets/labels/train\RiceLeafRoller (25).txt
201,train\RiceLeafRoller (27),3,0.335255,0.460594,0.536455,0.649871,datasets/labels/train\RiceLeafRoller (27).txt
202,train\RiceLeafRoller (28),3,0.413342,0.437339,0.207491,0.357881,datasets/labels/train\RiceLeafRoller (28).txt
203,train\RiceLeafRoller (29),3,0.504725,0.625969,0.855819,0.55168,datasets/labels/train\RiceLeafRoller (29).txt
204,train\RiceLeafRoller (3),3,0.598745,0.47416,0.564784,0.70801,datasets/labels/train\RiceLeafRoller (3).txt
205,train\RiceLeafRoller (30),3,0.410536,0.439922,0.671535,0.737726,datasets/labels/train\RiceLeafRoller (30).txt
206,train\RiceLeafRoller (31),3,0.482549,0.513353,0.315747,0.459347,datasets/labels/train\RiceLeafRoller (31).txt
207,train\RiceLeafRoller (32),3,0.502727,0.447028,0.533391,0.847545,datasets/labels/train\RiceLeafRoller (32).txt
208,train\RiceLeafRoller (33),3,0.505504,0.518734,0.605446,0.696382,datasets/labels/train\RiceLeafRoller (33).txt
209,train\RiceLeafRoller (34),3,0.449822,0.478036,0.477887,0.364341,datasets/labels/train\RiceLeafRoller (34).txt
210,train\RiceLeafRoller (36),3,0.473774,0.450258,0.312128,0.48708,datasets/labels/train\RiceLeafRoller (36).txt
211,train\RiceLeafRoller (37),3,0.477434,0.479328,0.653074,0.777778,datasets/labels/train\RiceLeafRoller (37).txt
212,train\RiceLeafRoller (38),3,0.478479,0.524548,0.444772,0.273902,datasets/labels/train\RiceLeafRoller (38).txt
213,train\RiceLeafRoller (39),3,0.49792,0.595607,0.358595,0.385013,datasets/labels/train\RiceLeafRoller (39).txt
214,train\RiceLeafRoller (40),3,0.501298,0.495478,0.589074,0.510336,datasets/labels/train\RiceLeafRoller (40).txt
215,train\RiceLeafRoller (42),3,0.491477,0.495899,0.111201,0.34287,datasets/labels/train\RiceLeafRoller (42).txt
216,train\RiceLeafRoller (43),3,0.503653,0.454865,0.163149,0.336723,datasets/labels/train\RiceLeafRoller (43).txt
217,train\RiceLeafRoller (44),3,0.527309,0.505168,0.632918,0.488372,datasets/labels/train\RiceLeafRoller (44).txt
218,train\RiceLeafRoller (45),3,0.494647,0.498708,0.533786,0.718346,datasets/labels/train\RiceLeafRoller (45).txt
219,train\RiceLeafRoller (46),3,0.5,0.578165,0.480563,0.755814,datasets/labels/train\RiceLeafRoller (46).txt
220,train\RiceLeafRoller (47),3,0.448518,0.510336,0.64733,0.692506,datasets/labels/train\RiceLeafRoller (47).txt
221,train\RiceLeafRoller (48),3,0.507711,0.430951,0.325487,0.852043,datasets/labels/train\RiceLeafRoller (48).txt
222,train\RiceLeafRoller (49),3,0.602273,0.492063,0.407468,0.49475,datasets/labels/train\RiceLeafRoller (49).txt
223,train\RiceLeafRoller (5),3,0.55082,0.461886,0.429455,0.567183,datasets/labels/train\RiceLeafRoller (5).txt
224,train\RiceLeafRoller (51),3,0.460215,0.507752,0.106094,0.54522,datasets/labels/train\RiceLeafRoller (51).txt
225,train\RiceLeafRoller (53),3,0.50487,0.567994,0.862013,0.275137,datasets/labels/train\RiceLeafRoller (53).txt
226,train\RiceLeafRoller (54),3,0.493834,0.531654,0.928236,0.332041,datasets/labels/train\RiceLeafRoller (54).txt
227,train\RiceLeafRoller (56),3,0.41765,0.534884,0.179786,0.44186,datasets/labels/train\RiceLeafRoller (56).txt
228,train\RiceLeafRoller (57),3,0.446567,0.481266,0.130614,0.549096,datasets/labels/train\RiceLeafRoller (57).txt
229,train\RiceLeafRoller (59),3,0.478896,0.558046,0.449675,0.711432,datasets/labels/train\RiceLeafRoller (59).txt
230,train\RiceLeafRoller (6),3,0.490986,0.494832,0.600047,0.48062,datasets/labels/train\RiceLeafRoller (6).txt
231,train\RiceLeafRoller (60),3,0.449269,0.402039,0.237825,0.375286,datasets/labels/train\RiceLeafRoller (60).txt
232,train\RiceLeafRoller (61),3,0.530438,0.526154,0.768669,0.243602,datasets/labels/train\RiceLeafRoller (61).txt
233,train\RiceLeafRoller (63),3,0.444283,0.673773,0.630814,0.19509,datasets/labels/train\RiceLeafRoller (63).txt
234,train\RiceLeafRoller (64),3,0.417803,0.379845,0.24465,0.209302,datasets/labels/train\RiceLeafRoller (64).txt
235,train\RiceLeafRoller (65),3,0.21942,0.136305,0.216022,0.218346,datasets/labels/train\RiceLeafRoller (65).txt
236,train\RiceLeafRoller (65),3,0.205143,0.456072,0.184984,0.24031,datasets/labels/train\RiceLeafRoller (65).txt
237,train\RiceLeafRoller (65),3,0.743955,0.445736,0.274372,0.085271,datasets/labels/train\RiceLeafRoller (65).txt
238,train\RiceLeafRoller (66),3,0.484981,0.50646,0.809109,0.775194,datasets/labels/train\RiceLeafRoller (66).txt
239,train\RiceLeafRoller (67),3,0.508049,0.471576,0.44845,0.418605,datasets/labels/train\RiceLeafRoller (67).txt
