,name,label,x_center,y_center,width,height,filepath
41,val\RiceBug (52),2,0.496573,0.470284,0.637483,0.385013,datasets/labels/val\RiceBug (52).txt
42,val\RiceBug (6),2,0.505544,0.500646,0.932475,0.985788,datasets/labels/val\RiceBug (6).txt
43,val\RiceBug (71),2,0.497158,0.51292,0.915153,0.899225,datasets/labels/val\RiceBug (71).txt
44,val\RiceBug (75),2,0.533194,0.485788,0.500241,0.633075,datasets/labels/val\RiceBug (75).txt
45,val\RiceBug (76),2,0.45103,0.44509,0.357824,0.683463,datasets/labels/val\RiceBug (76).txt
46,val\RiceBug (83),2,0.403016,0.575581,0.535583,0.616279,datasets/labels/val\RiceBug (83).txt
47,val\RiceBug (86),2,0.497423,0.578165,0.760955,0.673127,datasets/labels/val\RiceBug (86).txt
48,val\RiceLeafRoller (1),3,0.445211,0.540009,0.617695,0.67032,datasets/labels/val\RiceLeafRoller (1).txt
49,val\RiceLeafRoller (13),3,0.455357,0.559195,0.581169,0.68666,datasets/labels/val\RiceLeafRoller (13).txt
50,val\RiceLeafRoller (19),3,0.47658,0.572997,0.741808,0.781654,datasets/labels/val\RiceLeafRoller (19).txt
51,val\RiceLeafRoller (20),3,0.479787,0.560724,0.947139,0.821705,datasets/labels/val\RiceLeafRoller (20).txt
52,val\RiceLeafRoller (26),3,0.477681,0.587209,0.410332,0.350129,datasets/labels/val\RiceLeafRoller (26).txt
53,val\RiceLeafRoller (35),3,0.46321,0.574289,0.85466,0.835917,datasets/labels/val\RiceLeafRoller (35).txt
54,val\RiceLeafRoller (4),3,0.53101,0.560078,0.432439,0.556848,datasets/labels/val\RiceLeafRoller (4).txt
55,val\RiceLeafRoller (41),3,0.473644,0.453488,0.685248,0.661499,datasets/labels/val\RiceLeafRoller (41).txt
56,val\RiceLeafRoller (50),3,0.409197,0.486434,0.3098,0.383721,datasets/labels/val\RiceLeafRoller (50).txt
57,val\RiceLeafRoller (52),3,0.298944,0.553618,0.098407,0.381137,datasets/labels/val\RiceLeafRoller (52).txt
58,val\RiceLeafRoller (55),3,0.482717,0.421835,0.170173,0.830749,datasets/labels/val\RiceLeafRoller (55).txt
59,val\RiceLeafRoller (58),3,0.517601,0.442506,0.653617,0.536176,datasets/labels/val\RiceLeafRoller (58).txt
60,val\RiceLeafRoller (62),3,0.469156,0.501884,0.470779,0.293903,datasets/labels/val\RiceLeafRoller (62).txt
61,val\RiceLeafRoller (7),3,0.48921,0.529716,0.832964,0.697674,datasets/labels/val\RiceLeafRoller (7).txt
62,val\RiceLeafRoller (71),3,0.514419,0.485788,0.670465,0.635659,datasets/labels/val\RiceLeafRoller (71).txt
63,val\RiceLeafRoller (77),3,0.494724,0.522333,0.575487,0.621268,datasets/labels/val\RiceLeafRoller (77).txt
64,val\RiceStemBorer (1),4,0.485908,0.567183,0.819071,0.824289,datasets/labels/val\RiceStemBorer (1).txt
65,val\RiceStemBorer (13),4,0.497047,0.505168,0.824794,0.958656,datasets/labels/val\RiceStemBorer (13).txt
66,val\RiceStemBorer (14),4,0.505914,0.559432,0.794243,0.498708,datasets/labels/val\RiceStemBorer (14).txt
67,val\RiceStemBorer (18),4,0.351793,0.20801,0.397797,0.356589,datasets/labels/val\RiceStemBorer (18).txt
68,val\RiceStemBorer (18),4,0.734554,0.703488,0.352261,0.476744,datasets/labels/val\RiceStemBorer (18).txt
69,val\RiceStemBorer (19),4,0.3127,0.565245,0.127158,0.655039,datasets/labels/val\RiceStemBorer (19).txt
70,val\RiceStemBorer (19),4,0.674412,0.433463,0.244005,0.430233,datasets/labels/val\RiceStemBorer (19).txt
71,val\RiceStemBorer (20),4,0.308834,0.543928,0.500898,0.260982,datasets/labels/val\RiceStemBorer (20).txt
72,val\RiceStemBorer (20),4,0.744435,0.428941,0.346247,0.25323,datasets/labels/val\RiceStemBorer (20).txt
73,val\RiceStemBorer (26),4,0.330447,0.635659,0.461032,0.434109,datasets/labels/val\RiceStemBorer (26).txt
74,val\RiceStemBorer (3),4,0.464364,0.504522,0.423175,0.717054,datasets/labels/val\RiceStemBorer (3).txt
75,val\RiceStemBorer (38),4,0.473628,0.487726,0.251996,0.412145,datasets/labels/val\RiceStemBorer (38).txt
76,val\RiceStemBorer (4),4,0.43673,0.388889,0.195406,0.633075,datasets/labels/val\RiceStemBorer (4).txt
77,val\RiceStemBorer (50),4,0.430487,0.502584,0.855402,0.449612,datasets/labels/val\RiceStemBorer (50).txt
78,val\RiceStemBorer (54),4,0.428852,0.473514,0.214193,0.301034,datasets/labels/val\RiceStemBorer (54).txt
79,val\RiceStemBorer (59),4,0.492923,0.510336,0.344421,0.857881,datasets/labels/val\RiceStemBorer (59).txt
80,val\RiceStemBorer (70),4,0.446271,0.375323,0.345609,0.518088,datasets/labels/val\RiceStemBorer (70).txt
